product;sourceService;targetService;protocol;port;description
VBR;Web UI and Host Management console PC, Veeam Backup & Replication console, Mount server, Veeam Infrastructure Appliance;Backup server;TCP;443;-
VBR;Web UI and Host Management console PC;Backup server;TCP;10443;Required by Veeam Software Appliances only.
VBR;Web UI PC;Backup server;TCP;80;Optional. Redirects HTTP requests to HTTPS so the web UI can be opened without typing the https:// scheme explicitly. You can disable redirecting and free this port for another software as described in this Veeam KB article.
VBR;Remote access PC;Backup server;TCP;22;Optional. Required only for troubleshooting Veeam Software Appliances.
VBR;Remote access PC;Backup server;TCP, UDP;3389;Optional. Required only for troubleshooting Windows-based backup server.
VBR;Veeam Backup & Replication console;Backup server;TCP;9420;[For console version 12.3.2 P1 (build 12.3.2.4165)] Port used by the Veeam Backup & Replication console to communicate with the backup server for console automatic update.
VBR;Backup proxy, Backup repository (Linux), Backup repository (Microsoft Windows), Gateway server, Mount server;Backup server;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;REST client;Backup server;TCP;443;-
VBR;REST client;Backup server;TCP;9419;Required for Swagger. Optional for REST API for backward compatibility as REST API listens on port 443 now.
VBR;Backup server (Veeam Software Appliance), Veeam Infrastructure Appliance;Veeam Update Repository ( repository.veeam.com );TCP;443 or 80;Required by Veeam Software and Infrastructure Appliances only.
VBR;Backup server (Veeam Software Appliance), Veeam Infrastructure Appliance;Veeam Update Repository (local mirror) ( <localmirrorrepository.domain> );TCP;443 or 80;Required by Veeam Software and Infrastructure Appliances only. Consider that the address must be replaced with the actual URL of your mirror repository.
VBR;Backup server;Veeam Update Server (vbr.butler.veeam.com / autolk.veeam.com);TCP;443;Required for license updates. Starting from version 13.1, also required by Windows-based backup server, Veeam Software Appliance and Veeam Infrastructure Appliance for update rollout.
VBR;Backup server;Veeam Update Server CRL distribution points ( *.ss2.us / *.amazontrust.com );TCP;80;Certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the backup server can reach these verification endpoints.
VBR;Backup server;Veeam Update Notification Server ( dev.veeam.com / vbrad.butler.veeam.com / vbrce.butler.veeam.com );TCP;443;-
VBR;Veeam Backup & Replication console, Web UI and Host Management console PC;Veeam AI Assistant ( rest-ai.veeam.com );TCP;443;-
VBR;Backup server;Veeam ONE Server;TCP;2741, 2805;Required for Veeam ONE only.
VBR;Backup server;Veeam ONE Web Services Server;TCP;1239;Required for Veeam ONE only.
VBR;Backup server;PostgreSQL configuration database;TCP;5432;Required for Microsoft Windows-based backup servers with an external configuration database.
VBR;Backup server;Microsoft SQL Server hosting the Veeam Backup & Replication configuration database;TCP;1433;Required for Microsoft Windows-based backup servers with an external SQL Server configuration database. Depending on your configuration, alternative ports may need to be open. For more information, see Microsoft Docs.
VBR;Backup server;SMTP server;TCP;25;-
VBR;Backup server;SMTP server;TCP;587;Required if SSL is enabled.
VBR;Backup server;Gmail REST API ( gmail.googleapis.com / accounts.google.com / gstatic.com );TCP;443;-
VBR;Backup server;Microsoft Graph REST API ( graph.microsoft.com / login.microsoftonline.com );TCP;443;-
VBR;Backup server, Veeam Infrastructure Appliance;NTP server;UDP;123;Required by Veeam Software and Infrastructure Appliances only.
VBR;Backup server, Veeam Infrastructure Appliance;NTS server;UDP;123;Required by Veeam Software and Infrastructure Appliances only.
VBR;Backup server, Veeam Infrastructure Appliance;NTS server;TCP;4460;Required by Veeam Software and Infrastructure Appliances only.
VBR;Any backup infrastructure component;DNS server;TCP, UDP;53;-
VBR;Backup server;Certificate Revocation Lists;TCP;80 or 443;The specific CRL endpoint that must be connected to depends on the CA that issued the certificate. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the backup server can reach these verification endpoints.
VBR;Backup server;Key Management System (KMIP) server;TCP;5696;-
VBR;Backup server;Syslog server;TCP, UDP;514;-
VBR;Backup server;Syslog server;TCP;6514;-
VBR;Backup server, Veeam Infrastructure Appliance;Active Directory Domain Controllers;TCP;636, 3268, 3269;-
VBR;Backup server, Veeam Infrastructure Appliance;Active Directory Domain Controllers;TCP, UDP;389;-
VBR;Backup server, Veeam Infrastructure Appliance;Active Directory Domain Controllers;TCP, UDP;445, 139;-
VBR;Backup server, Veeam Infrastructure Appliance;Active Directory Domain Controllers;TCP, UDP;88;Required for Kerberos authentication when Veeam Software or Infrastructure Appliances are domain-joined.
VBR;Backup proxy, Gateway server;Active Directory Domain Controllers;TCP;389;-
VBR;Backup proxy, Gateway server;Active Directory Domain Controllers;TCP;88;Required for Kerberos authentication when Veeam Software or Infrastructure Appliances are domain-joined.
VBR;Backup server;Veeam Infrastructure Appliance;TCP;443;-
VBR;Web UI PC, Host Management console PC;Veeam Infrastructure Appliance;TCP;10443;-
VBR;Remote access PC;Veeam Infrastructure Appliance;TCP;22;Optional. Required only for troubleshooting Veeam Infrastructure Appliances.
VBR;Backup server, Backup proxy, Backup repository, Mount server, Gateway server (for on-premises backup repository in case of Veeam Data Cloud Vault) On-premises backup repository;Backup proxy, Backup proxy (direct connection);TCP;6162, 2500 to 3300;[For Linux backup proxy] You can specify a different port while adding Linux servers to the Veeam Backup & Replication infrastructure. You can specify a different port only if there is no previously installed Veeam Transport Service or Veeam Data Mover components on the Linux server. The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;445, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;6160;-
VBR;Backup server;Backup proxy (Linux);TCP;22;-
VBR;Backup server;Backup proxy (Linux);TCP;6160;-
VBR;Backup server, Backup proxy, Hyper-V server/Off-host backup proxy, On-premises backup repository, Gateway server (for on-premises backup repository in case of Veeam Data Cloud Vault), VM Guest OS;Gateway server, Gateway server for Veeam Data Cloud Vault;TCP;6162, 2500 to 3300;[For Linux gateway server] You can specify a different port while adding Linux servers to the Veeam Backup & Replication infrastructure. You can specify a different port only if there is no previously installed Veeam Transport Service or Veeam Data Mover components on the Linux server. The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;445, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;Gateway server (Microsoft Windows);TCP;6160;-
VBR;Backup server;Gateway server (Linux);TCP;22;-
VBR;Backup server;Gateway server (Linux);TCP;6160;-
VBR;Mount server running vPower NFS Service;Gateway server working with backup repository;TCP;6162, 2500 to 3300;Required for Instant Recovery, SureBackup, and Linux file-level recovery. The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Mount server running vPower NFS Service;Backup repository;TCP;6162, 2500 to 3300;Required for Instant Recovery, SureBackup, and Linux file-level recovery. The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Veeam Backup & Replication console, Backup proxy, Hyper-V server/Off-host backup proxy;Backup repository;TCP;6162, 2500 to 3300;[For Linux repository] You can specify a different port while adding Linux servers to the Veeam Backup & Replication infrastructure. You can specify a different port only if there is no previously installed Veeam Transport Service or Veeam Data Mover components on the Linux server. The port range 2500-3300 is used for failover if the 6162 port is unavailable.
VBR;Backup server;Backup repository;TCP;6160;-
VBR;Backup server;Backup repository (Microsoft Windows);TCP;445, 137, 139;These ports are not required if the Veeam Deployment Kit is installed on the backup infrastructure component. Note: 137 and 139 are legacy ports. If your backup infrastructure components do not use SMB 1.0, they are not required.
VBR;Backup server;Backup repository (Linux);TCP;22;-
VBR;Source backup repository;Target backup repository;TCP;6162, 2500 to 3300;Required for backup copy jobs. If the backup copy job utilizes WAN accelerators, make sure that ports specific for WAN accelerators are opened.
VBR;Backup proxy, Gateway server;NFS backup repository;TCP, UDP;111, 2049;-
VBR;Backup proxy, Gateway server;NFS backup repository (NFS v3);TCP, UDP;mountd_port, statd_port, lockd_port;These ports can be assigned statically.
VBR;Backup proxy, Gateway server;SMB (CIFS) backup repository (Microsoft Windows);TCP;445;Port used as a transmission channel from the gateway server to the target SMB (CIFS) backup repository if a gateway server is specified explicitly in SMB (CIFS) backup repository settings.
VBR;Backup server, Gateway server;Dell Data Domain;TCP;111;Port used to assign a random port for the mountd service used by NFS and DDBOOST. Mountd service port can be statically assigned.
VBR;Backup server, Gateway server;Dell Data Domain;TCP;2049;Main port used by NFS. Can be modified using the ‘nfs set server-port’ command. Command requires SE mode.
VBR;Backup server, Gateway server;Dell Data Domain;TCP;2052;Main port used by NFS MOUNTD. Can be modified using the 'nfs set mountd-port' command in SE mode.
VBR;Backup server, Gateway server;HPE StoreOnce;TCP;9387;-
VBR;Backup server, Gateway server;HPE StoreOnce;TCP;9388;-
VBR;Backup server;Deduplicating appliance;TCP;22;-
VBR;Backup server;Deduplicating appliance;TCP;6162, 2500 to 3300, 6160;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server, Backup proxy (direct connection), Gateway server, Instant Recovery to Azure helper appliance;Veeam Data Cloud Vault ( <storage-account>.blob.core.windows.net / <storage-account>.blob.storage.azure.net/ vdc-vault-integration-prod.veeamdatacloud.com / cloud.veeam.com );TCP;443;Consider that the <storage-account> part of the address must be replaced with the ID of your storage vault. You can find the storage vault ID in the Storage Vaults > Vault ID section in Veeam Data Cloud Vault. For more information, see the Managing Storage Vaults section in the Veeam Data Cloud User Guide.
VBR;Backup server, Backup proxy (direct connection), Gateway server, Instant Recovery to Azure helper appliance;Veeam Data Cloud Vault CRL distribution points;TCP;80;Port used to verify the certificate status through the certificate verification endpoints (CRL URLs and OCSP servers). These endpoints are subject to change. You can find the actual list of addresses in this Microsoft article or in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the backup server, or proxy, or gateway server, or helper appliance can reach these verification endpoints.
VBR;Backup server;Microsoft Entra ID ( login.microsoftonline.com / login.windows.net );TCP;443;-
VBR;Backup server;Veeam Update Server (vbr.butler.veeam.com / autolk.veeam.com);TCP;443;Default port used to automatically update the license from the Veeam Update Server over HTTPS.
VBR;Backup server, Backup proxy (direct connection), Gateway server, Amazon EC2 helper appliance;Veeam Data Cloud Vault (AWS Edition) ( *.amazonaws.com );TCP;443;The *.amazonaws.com endpoint is used for the Global and Government regions. All AWS service endpoints are specified in the AWS documentation.
VBR;Backup server, Backup proxy (direct connection), Gateway server, Amazon EC2 helper appliance;Veeam Data Cloud Vault (AWS Edition);TCP;80;Port used to verify the certificate status through the certificate verification endpoints (CRL URLs and OCSP servers). These endpoints are subject to change. You can find the actual list of addresses in this Microsoft article or in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the backup server, or proxy, or gateway server, or helper appliance can reach these verification endpoints.
VBR;Backup server;Smart Object Storage API (SOSAPI) compatible S3 object storage;TCP;443;-
VBR;Backup proxy (direct connection), Gateway server, backup server, Amazon EC2 helper appliance;Amazon S3 object storage ( *.amazonaws.com / *.amazonaws.com.cn );TCP;443;The endpoint used by the connection depends on the region: *.amazonaws.com is used for the Global and Government regions. *.amazonaws.com.cn is used for the China region. All AWS service endpoints are specified in the AWS documentation.
VBR;Backup proxy (direct connection), Gateway server, backup server, Amazon EC2 helper appliance;Amazon S3 CRL distribution points ( *.amazontrust.com );TCP;80;Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or gateway server, or helper appliance can reach these verification endpoints.
VBR;Backup proxy (direct connection), Gateway server, backup server, Amazon EC2 helper appliance;S3 compatible object storage;TCP;Depends on device configuration;-
VBR;Backup proxy (direct connection), Gateway server, backup server, Instant Recovery to Azure helper appliance;Microsoft Azure object storage ( <storage-account>.blob.core.windows.net / <storage-account>.blob.storage.azure.net / <storage-account>.blob.core.chinacloudapi.cn / <storage-account>.blob.core.usgovcloudapi.net );TCP;443;The endpoints used by the connection depend on the region: <storage-account>.blob.core.windows.net is used for the Global region. <storage-account>.blob.storage.azure.net is used for the Global region. <storage-account>.blob.core.chinacloudapi.cn is used for the China region. <storage-account>.blob.core.usgovcloudapi.net is used for the Government region. Consider that the <storage-account> part of the address must be replaced with your actual storage account URL that can be found in the Azure management portal.
VBR;Backup proxy (direct connection), Gateway server, backup server, Instant Recovery to Azure helper appliance;Microsoft Azure CRL distribution points;TCP;80;Port used to verify the certificate status through the certificate verification endpoints (CRL URLs and OCSP servers). These endpoints are subject to change. You can find the actual list of addresses in this Microsoft article or in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or gateway server, or helper appliance can reach these verification endpoints.
VBR;Backup proxy (direct connection), Gateway server, backup server, Instant Recovery to Azure helper appliance;Google Cloud CRL distribution points ( storage.googleapis.com );TCP;443;All cloud endpoints are specified in this Google article.
VBR;Backup proxy (direct connection), Gateway server, backup server, Instant Recovery to Azure helper appliance;Google Cloud CRL distribution points ( ocsp.pki.goog / pki.goog / crl.pki.goog );TCP;80;Port used to verify the certificate status. Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or gateway server, or helper appliance can reach these verification endpoints.
VBR;Backup proxy (direct connection), Gateway server, backup server, Instant Recovery to Azure helper appliance;IBM Cloud object storage;TCP;Depends on device configuration;-
VBR;Source extent;Target extent;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Target extent;Source extent;TCP;6162, 2500 to 3300;The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Amazon S3 object storage ( *.amazonaws.com / *.amazonaws.com.cn );TCP;443;The endpoint used by the connection depends on the region: *.amazonaws.com is used for the Global and Government regions. *.amazonaws.com.cn is used for the China region. All AWS service endpoints are specified in the AWS documentation.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Amazon S3 CRL distribution points ( *.amazontrust.com );TCP;80;Port used to verify certificate status. Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or backup server, or helper appliance can reach these verification endpoints.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Microsoft Azure object storage ( <storage-account>.blob.core.windows.net / <storage-account>.blob.storage.azure.net / <storage-account>.blob.core.chinacloudapi.cn / <storage-account>.blob.core.usgovcloudapi.net );TCP;443;The endpoints used by the connection depend on the region: <storage-account>.blob.core.windows.net is used for the Global region. <storage-account>.blob.storage.azure.net is used for the Global region. <storage-account>.blob.core.chinacloudapi.cn is used for the China region. <storage-account>.blob.core.usgovcloudapi.net is used for the Government region. Consider that the <storage-account> part of the address must be replaced with your actual storage account URL that can be found in the Azure management portal.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Microsoft Azure CRL distribution points;TCP;80;Port used to verify the certificate status through the certificate verification endpoints (CRL URLs and OCSP servers). These endpoints are subject to change. You can find the actual list of addresses in this Microsoft article or in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or backup server, or helper appliance can reach these verification endpoints.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Google Cloud CRL distribution points ( storage.googleapis.com );TCP;443;All cloud endpoints are specified in this Google article.
VBR;Gateway server, Backup server, Instant Recovery to Azure helper appliance;Google Cloud CRL distribution points ( ocsp.pki.goog / pki.goog / crl.pki.goog );TCP;80;Port used to verify the certificate status. Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy, or backup server, or helper appliance can reach these verification endpoints.
VBR;Gateway server, Backup server;Amazon EC2 helper appliance;TCP;443;If you use Amazon S3 Glacier object storage, the gateway server should have direct connection to AWS service endpoints. HTTP/HTTPS proxy servers are not supported. If there is no gateway server selected, the backup server will be used as a gateway server.
VBR;Gateway server, Backup server;Amazon EC2 helper appliance;TCP;22;-
VBR;Gateway server, Backup server;Microsoft Azure proxy appliance;TCP;443;If there is no gateway server selected, the backup server will be used as a gateway server.
VBR;Gateway server, Backup server;Microsoft Azure proxy appliance;TCP;22;-
VBR;Amazon EC2 helper appliance;Amazon S3 object storage ( *.amazonaws.com / *.amazonaws.com.cn );TCP;443;The endpoint used by the connection depends on the region: *.amazonaws.com is used for the Global and Government regions. *.amazonaws.com.cn is used for the China region. All AWS service endpoints are specified in the AWS documentation.
VBR;Amazon EC2 helper appliance;Amazon S3 CRL distribution points ( *.amazontrust.com );TCP;80;Port used to verify the certificate status. Consider that certificate verification endpoints (CRL URLs and OCSP servers) are subject to change. You can find the actual list of addresses in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the helper appliance can reach these verification endpoints.
VBR;Microsoft Azure proxy appliance;Microsoft Azure object storage ( <storage-account>.blob.core.windows.net / <storage-account>.blob.storage.azure.net / <storage-account>.blob.core.chinacloudapi.cn / <storage-account>.blob.core.usgovcloudapi.net );TCP;443;The endpoints used by the connection depend on the region: <storage-account>.blob.core.windows.net is used for the Global region. <storage-account>.blob.storage.azure.net is used for the Global region. <storage-account>.blob.core.chinacloudapi.cn is used for the China region. <storage-account>.blob.core.usgovcloudapi.net is used for the Government region. Consider that the <storage-account> part of the address must be replaced with your actual storage account URL that can be found in the Azure management portal.
VBR;Microsoft Azure proxy appliance;Microsoft Azure CRL distribution points;TCP;80;Port used to verify the certificate status through the certificate verification endpoints (CRL URLs and OCSP servers). These endpoints are subject to change. You can find the actual list of addresses in this Microsoft article or in the certificate details in the following fields: CRL Distribution Points Authority Information Access Make sure that the proxy appliance can reach these verification endpoints.
VBR;Backup server;Application Backup Repository;TCP;6960;-
VBR;Veeam Backup & Replication console;Mount server;TCP;6162, 2500 to 3300;Required for guest OS file-level restore. These ports are not required if the mount server is located on the same machine as the console. The port range 2500-3300 is used for failover if port 6162 is unavailable.
VBR;Backup server;Mount server;TCP;445;Not required if the Veeam Deployment Kit is installed on the backup infrastructure component.
VBR;Backup server;Mount server;TCP;6160;-
VBR;Backup server;Mount server;TCP;6162, 2500 to 3300;-
VBR;Backup server;Mount server;TCP;6170;-
VBR;Backup server;Mount server running vPower NFS Service;TCP;6160;-
VBR;Backup server;Mount server running vPower NFS Service;TCP;6161;-
VBR;ESXi host;Mount server running vPower NFS Service;TCP, UDP;111;-
VBR;ESXi host;Mount server running vPower NFS Service;TCP, UDP;1058+ or 1063+;Default mount port. The port depends on where the vPower NFS Service is located: 1058+: If the vPower NFS Service is located on the backup server. 1063+: If the vPower NFS Service is located on a separate Microsoft Windows machine. If port 1058/1063 is occupied, the succeeding port numbers will be used.
VBR;ESXi host;Mount server running vPower NFS Service;TCP, UDP;2049+;-
